,Symbol,Close_21,Close_19,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Founded
98,CRL,366.75,151.83999633789062,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",1947
99,SCHW,81.30999755859375,47.81999969482422,Charles Schwab,Financials,Investment Banking & Brokerage,"Westlake, Texas",1971
100,CHTR,650.5999755859375,483.0799865722656,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",1993
101,CVX,117.91999816894531,119.8499984741211,Chevron,Energy,Integrated Oil & Gas,"San Ramon, California",1879
102,CMG,1711.739990234375,836.0700073242188,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",1993
103,CB,188.0399932861328,155.30999755859375,Chubb,Financials,Property & Casualty Insurance,"Zurich, Switzerland",1985
104,CHD,92.94000244140625,70.3499984741211,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",1847
105,CI,207.97000122070312,202.97000122070312,Cigna,Health Care,Managed Health Care,"Bloomfield, Connecticut",1982
106,CINF,117.76000213623047,104.44000244140625,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1950
107,CTAS,446.0199890136719,268.3599853515625,Cintas Corporation,Industrials,Diversified Support Services,"Mason, Ohio",1929
108,CSCO,58.08000183105469,47.59000015258789,Cisco Systems,Information Technology,Communications Equipment,"San Jose, California",1984
109,C,62.900001525878906,79.51000213623047,Citigroup,Financials,Diversified Banks,"New York City, New York",1998
110,CFG,48.33000183105469,40.43000030517578,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",1828
111,CTXS,80.86000061035156,110.36000061035156,Citrix Systems,Information Technology,Application Software,"Fort Lauderdale, Florida",1989
112,CLX,165.25999450683594,152.8800048828125,Clorox,Consumer Staples,Household Products,"Oakland, California",1913
113,CME,231.25,199.17999267578125,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",1848
114,CMS,62.029998779296875,62.59000015258789,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",1886
115,KO,55.209999084472656,55.27000045776367,Coca-Cola,Consumer Staples,Soft Drinks,"Atlanta, Georgia",1886
116,CTSH,81.44999694824219,61.650001525878906,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",1994
117,CL,77.80999755859375,68.79000091552734,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",1806
118,CMCSA,49.58000183105469,45.18000030517578,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",1963
119,CMA,85.55999755859375,71.4000015258789,Comerica,Financials,Diversified Banks,"Dallas, Texas",1849
120,CAG,31.799999237060547,34.040000915527344,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1919
121,COP,74.56999969482422,64.61000061035156,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2002
122,ED,81.55999755859375,90.19000244140625,Consolidated Edison,Utilities,Electric Utilities,"New York City, New York",1823
123,STZ,233.8300018310547,188.3699951171875,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",1945
124,COO,406.1700134277344,319.45001220703125,The Cooper Companies,Health Care,Health Care Supplies,"San Ramon, California",1958
125,CPRT,150.6199951171875,90.86000061035156,Copart,Industrials,Diversified Support Services,"Dallas, Texas",1982
126,GLW,38.22999954223633,29.010000228881836,Corning,Information Technology,Electronic Components,"Corning, New York",1851
127,CTVA,47.75,28.860000610351562,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",2019
128,COST,542.02001953125,295.1400146484375,Costco,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",1976
129,CTRA,20.1200008392334,17.1299991607666,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2021 (1989)
130,CCI,192.14999389648438,141.39999389648438,Crown Castle,Real Estate,Specialized REITs,"Houston, Texas",1994
131,CSX,37.09000015258789,72.33999633789062,CSX,Industrials,Railroads,"Jacksonville, Florida",1980
132,CMI,219.77000427246094,179.16000366210938,Cummins,Industrials,Industrial Machinery,"Columbus, Indiana",1919
133,CVS,92.93000030517578,73.69999694824219,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",1996
134,DHI,106.16000366210938,52.54999923706055,D. R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",1978
135,DHR,313.3500061035156,152.83999633789062,Danaher,Health Care,Health Care Equipment,"Washington, D.C.",1969
136,DRI,148.1199951171875,108.95999908447266,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",1938
137,DVA,103.12000274658203,74.08000183105469,DaVita,Health Care,Health Care Facilities,"Denver, Colorado",1979
138,DE,361.3399963378906,174.16000366210938,Deere & Co.,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1837
139,DAL,38.040000915527344,58.65999984741211,Delta Air Lines,Industrials,Airlines,"Atlanta, Georgia",1929
140,XRAY,52.63999938964844,56.400001525878906,Dentsply Sirona,Health Care,Health Care Supplies,"Charlotte, North Carolina",2016 (1969)
141,DVN,45.119998931884766,25.530000686645508,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",1971
142,DXCM,558.4000244140625,216.19000244140625,DexCom,Health Care,Health Care Equipment,"San Diego, California",1999
143,FANG,115.58999633789062,91.06999969482422,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2007
144,DLR,167.4199981689453,118.30999755859375,Digital Realty Trust,Real Estate,Specialized REITs,"Austin, Texas",2004
145,DFS,114.37999725341797,84.52999877929688,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois",1985
146,DISCA,24.219999313354492,32.7599983215332,Discovery (Series A),Communication Services,Broadcasting,"New York City, New York",1985
147,DISCK,23.389999389648438,30.510000228881836,Discovery (Series C),Communication Services,Broadcasting,"New York City, New York",1985
148,DISH,32.130001068115234,35.3849983215332,Dish Network,Communication Services,Cable & Satellite,"Meridian, Colorado",1980
149,DG,224.5,157.35000610351562,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",1939
150,DLTR,137.97999572753906,93.48999786376953,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",1986
151,D,75.45999908447266,82.08000183105469,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",1983
152,DPZ,537.4299926757812,293.25,Domino's Pizza,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",1960
153,DOV,172.25,115.23999786376953,Dover Corporation,Industrials,Industrial Machinery,"Downers Grove, Illinois",1955
154,DOW,54.86000061035156,54.34000015258789,Dow,Materials,Commodity Chemicals,"Midland, Michigan",2019
155,DTE,115.01000213623047,129.02000427246094,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",1995
156,DUK,101.16999816894531,90.79000091552734,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1904
157,DRE,61.400001525878906,34.380001068115234,Duke Realty Corp,Real Estate,Industrial REITs,"Indianapolis, Indiana",1972
158,DD,77.54000091552734,62.290000915527344,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2017
159,DXC,31.450000762939453,36.58000183105469,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",2017
160,EMN,113.56999969482422,78.3499984741211,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee",1920
161,ETN,170.58999633789062,94.93000030517578,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",1911
162,EBAY,67.2300033569336,35.79499816894531,eBay,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",1995
163,ECL,230.75999450683594,191.6199951171875,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1923
