,Symbol,Close_21,Close_19,Security,GICS Sector,GICS Sub-Industry
192,FRC,213.5500030517578,117.37000274658203,First Republic Bank,Financials,Regional Banks
193,FISV,103.12999725341797,115.47000122070312,Fiserv,Information Technology,Data Processing & Outsourced Services
194,FLT,220.14999389648438,286.260009765625,Fleetcor,Information Technology,Data Processing & Outsourced Services
195,FMC,107.0999984741211,99.22000122070312,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals
196,F,19.959999084472656,9.25,Ford,Consumer Discretionary,Automobile Manufacturers
197,FTNT,317.239990234375,106.94999694824219,Fortinet,Information Technology,Systems Software
198,FTV,75.0999984741211,63.832637786865234,Fortive,Industrials,Industrial Machinery
199,FBHS,105.41999816894531,65.37999725341797,Fortune Brands Home & Security,Industrials,Building Products
200,FOXA,36.47999954223633,37.08000183105469,Fox Corporation (Class A),Communication Services,Movies & Entertainment
201,FOX,33.95000076293945,36.439998626708984,Fox Corporation (Class B),Communication Services,Movies & Entertainment
202,BEN,32.97999954223633,25.81999969482422,Franklin Resources,Financials,Asset Management & Custody Banks
203,FCX,38.77000045776367,13.010000228881836,Freeport-McMoRan,Materials,Copper
204,GPS,17.3700008392334,17.81999969482422,Gap,Consumer Discretionary,Apparel Retail
205,GRMN,137.9600067138672,97.94999694824219,Garmin,Consumer Discretionary,Consumer Electronics
206,IT,316.010009765625,152.77000427246094,Gartner,Information Technology,IT Consulting & Other Services
207,GNRC,358.4200134277344,101.12000274658203,Generac Holdings,Industrials,Electrical Components & Equipment
208,GD,199.32000732421875,176.00999450683594,General Dynamics,Industrials,Aerospace & Defense
209,GE,97.55000305175781,88.63999938964844,General Electric,Industrials,Industrial Conglomerates
210,GIS,64.56999969482422,52.7400016784668,General Mills,Consumer Staples,Packaged Foods & Meats
211,GM,61.529998779296875,36.439998626708984,General Motors,Consumer Discretionary,Automobile Manufacturers
212,GPC,133.7899932861328,106.0199966430664,Genuine Parts,Consumer Discretionary,Specialty Stores
213,GILD,69.6500015258789,64.93000030517578,Gilead Sciences,Health Care,Biotechnology
214,GL,91.83999633789062,105.19000244140625,Globe Life,Financials,Life & Health Insurance
215,GPN,129.77000427246094,181.35000610351562,Global Payments,Information Technology,Data Processing & Outsourced Services
216,GS,400.1099853515625,229.8000030517578,Goldman Sachs,Financials,Investment Banking & Brokerage
217,GWW,507.7200012207031,338.25,W. W. Grainger,Industrials,Industrial Machinery
218,HAL,23.399999618530273,24.559999465942383,Halliburton,Energy,Oil & Gas Equipment & Services
219,HBI,17.399999618530273,14.739999771118164,Hanesbrands,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
220,HIG,68.25,60.689998626708984,The Hartford,Financials,Property & Casualty Insurance
221,HAS,100.11000061035156,105.18000030517578,Hasbro,Consumer Discretionary,Leisure Products
222,HCA,238.60000610351562,147.5500030517578,HCA Healthcare,Health Care,Health Care Facilities
223,PEAK,34.18000030517578,34.060001373291016,Healthpeak Properties,Real Estate,Health Care REITs
224,HSIC,74.58000183105469,66.44000244140625,Henry Schein,Health Care,Health Care Distributors
225,HSY,182.0,146.82000732421875,The Hershey Company,Consumer Staples,Packaged Foods & Meats
